stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
3069O00018C0,"",Rua Assis Carneiro oposto ao 65,"",-22.89082,-43.31046,"","",0,"","",,""
3069O00019C0,"",Rua Assis Carneiro próximo ao 411  posição do ponto é oposto à rua,"",-22.89397,-43.31192,"","",0,"","",,""
3069O00021C0,"",Rua Torres de Oliveira próximo ao 90,"",-22.898301,-43.313281,"","",0,"","",,""
3069O00022C0,"",Rua Torres de Oliveira próximo ao 176,"",-22.900156,-43.313888,"","",0,"","",,""
3069O00023C0,"",Rua Torres de Oliveira próximo ao 244,"",-22.901578,-43.314398,"","",0,"","",,""
3069O00024C0,"",Rua Torres de Oliveira próximo ao 314,"",-22.903044,-43.314913,"","",0,"","",,""
3069O00025C0,"",Rua Torres de Oliveira próximo ao 392-402,"",-22.90486,-43.31551,"","",0,"","",,""
3069O00026C9,"",Rua Goiás oposto ao 618 - Estação Supervia Piedade,"",-22.89048,-43.30924,"","",0,"","",,""
3069O00027C0,"",Rua Clarimundo de Melo 210,"",-22.8961,-43.30911,"","",0,"","",,""
3069O00029C0,"",Rua Clarimundo de Melo 376,"",-22.896225,-43.312056,"","",0,"","",,""
3069O00030C0,"",Rua Clarimundo de Melo 446,"",-22.89601,-43.313742,"","",0,"","",,""
3069O00017C9,"",Rua Elias da Silva próximo ao 53,"",-22.889209,-43.311278,"","",0,"","",,""
3069O00014C1,"",Padre Manoel de Nóbrega,"",-22.8852,-43.31011,"","",0,"","",,""
3069O00013C1,"",Adelaide,"",-22.88614,-43.30788,"","",0,"","",,""
3069O00012C1,"",Julieta,"",-22.88659,-43.306,"","",0,"","",,""
3069O00011C1,"",Frei Henrique,"",-22.88639,-43.30314,"","",0,"","",,""
3069O00003C2,"",Engenheiro Nazareth,"",-22.88646,-43.30281,"","",0,"","",,""
3066O00060C1,"",José dos Reis,"",-22.88522,-43.2901,"","",0,"","",,""
3066O00059C1,"",Ibiraci,"",-22.88667,-43.28774,"","",0,"","",,""
3066O00058C1,"",Piauí,"",-22.88708,-43.28657,"","",0,"","",,""
3069O00031C0,"",Rua Clarimundo de Melo próximo ao 568,"",-22.89575,-43.316141,"","",0,"","",,""
3069O00032C0,"",Rua Vírgem Peregrina próximo ao 34,"",-22.88019,-43.31214,"","",0,"","",,""
3069O00033C0,"",Rua Virgem Peregrina próximo ao 100,"",-22.87903,-43.31069,"","",0,"","",,""
3069O00034C0,"",Rua Vírgem Peregrina próximo ao 148,"",-22.87822,-43.30967,"","",0,"","",,""
3069O00035C0,"",Rua Cardoso Quintão próximo ao 300,"",-22.87593,-43.30888,"","",0,"","",,""
3069O00038C0,"",Rua Assis Carneiro próximo ao 41,"",-22.89072,-43.31027,"","",0,"","",,""
3069O00039C9,"",Rua Elias da Silva oposto ao 69,"",-22.88899,-43.31151,"","",0,"","",,""
